[INFO] 2025-09-13 10:07:02 Enabled arms: trend,breakout
[INFO] 2025-09-13 10:07:02 Loaded chooser state from .\models\linucb_es.json
[INFO] 2025-09-13 10:07:02 [PING 1] clientId=19 connected: False
[INFO] 2025-09-13 10:07:02 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[INFO] 2025-09-13 10:07:02 Using contract: ESZ5  (conId=495512563)
[INFO] 2025-09-13 10:07:02 [WARMUP] Fetching 5d of 1m bars...
[INFO] 2025-09-13 10:07:04 [WARMUP] Loaded 6900 historical 1m bars.
[INFO] 2025-09-13 10:07:05 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.842 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.842
[HB] 2025-09-13 10:08:52 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:08:53 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:08:54 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:08:55 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:08:56 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:08:57 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:08:58 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:08:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:00 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:01 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:02 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:04 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:05 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[INFO] 2025-09-13 10:09:06 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.842 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.842
[HB] 2025-09-13 10:09:06 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
[HB] 2025-09-13 10:09:07 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.049 | dayR=0.00 | dayN=0 | stall=yes
