============================================================
[START] 2025-09-10 12:57:50
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --place-orders --debug-regime --alpha 0.6 --epsilon 0.05 --epsilon-final 0.02 --epsilon-decay-min 120.0 --enable-arms trend,breakout --reward-mode linear --reward-penalty-time 0.1 --reward-penalty-dd 0.2 --reward-penalty-slip 0.05 --reward-regime-bonus 0.02 --arm-min-trades 12 --arm-good-thresh 0.08 --arm-bad-thresh -0.06 --auto-freeze-bad --alpha-boost-good --alpha-boost-mult 1.5 --alpha-boost-secs 600 --freeze-cooldown-secs 14400 --decay-every-secs 600 --decay-gamma 0.995 --rth-only --one-trade-at-a-time --strategy-cooldown-sec 60 --debounce-one-bar --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-10 12:57:51 Enabled arms: trend,breakout
[LOG] 2025-09-10 12:57:51 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-10 12:57:51 [PING 1] clientId=19 connected: False
[LOG] 2025-09-10 12:57:51 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-10 12:57:51 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-10 12:57:51 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-10 12:57:52 [WARMUP] Loaded 6718 historical 1m bars.
[REGIME] ADX=40.6  BBbw=0.0013  ATR%=0.000238  (ok=True)
[LOG] 2025-09-10 12:57:54 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.733 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.733
[HB] 2025-09-10 12:58:27 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:28 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:29 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:30 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:31 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:32 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:34 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:35 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:36 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:37 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:38 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=31.2  BBbw=0.0008  ATR%=0.000124  (ok=True)
[HB] 2025-09-10 12:58:39 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:40 CT OpenTrades=0 | ChooserArm=breakout | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:41 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:42 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:43 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:44 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:45 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:47 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:48 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:49 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:50 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:51 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:52 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:53 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=35.4  BBbw=0.0007  ATR%=0.000104  (ok=False)
[LOG] 2025-09-10 12:58:54 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.966 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.966
[HB] 2025-09-10 12:58:54 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:55 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:56 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:57 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:58 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:58:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:01 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:02 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:04 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:05 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:06 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:07 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:08 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=29.3  BBbw=0.0006  ATR%=0.000094  (ok=False)
[HB] 2025-09-10 12:59:09 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:10 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:11 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:12 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:13 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:15 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:16 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:17 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:59:18 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
